id,datetime,sentiment,text,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59
9.50105E+17,7/1/18 20:42,0.222222222,"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",the,stock,market,has,been,creating,tremendous,benefits,for,our,country,in,the,form,of,not,only,record,setting,stock,prices,but,present,and,future,jobs,jobs,jobs,seven,trillion,dollars,of,value,created,since,our,big,election,win,,,,,,,,,,,,,,,,,,,,,
9.52183E+17,13/1/18 2:20,0.28125,"Yesterday was another big day for jobs and the Stock Market. Chrysler coming back to U.S. (Michigan) from Mexico and many more companies paying out Tax Cut money to employees. If Dems won in November, Market would have TANKED! It was headed for disaster.",yesterday,was,another,big,day,for,jobs,and,the,stock,market,chrysler,coming,back,to,us,michigan,from,mexico,and,many,more,companies,paying,out,tax,cut,money,to,employees,if,dems,won,in,november,market,would,have,tanked,it,was,headed,for,disaster,,,,,,,,,,,,,,,,
9.52167E+17,13/1/18 13:13,0.2265625,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!",yesterday,was,a,big,day,for,the,stock,market,jobs,are,coming,back,to,america,chrysler,is,coming,back,to,the,usa,from,mexico,and,many,others,will,follow,tax,cut,money,to,employees,is,pouring,into,our,economy,with,many,more,companies,announcing,american,business,is,hot,again,,,,,,,,,,,
9.52538E+17,14/1/18 13:50,0.4,"“President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers. Most explosive Stock Market rally that we’ve seen in modern times. 18,000 to 26,000 from Election, and grounded in profitability and growth. All Trump, not 0...",president,trump,is,not,getting,the,credit,he,deserves,for,the,economy,tax,cut,bonuses,to,more,than,2000000,workers,most,explosive,stock,market,rally,that,weve,seen,in,modern,times,18000,to,26000,from,election,and,grounded,in,profitability,and,growth,all,trump,not,0,,,,,,,,,,,,,,
9.54844E+17,20/1/18 22:31,0.248148148,"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military, Crime, Borders, &amp, ISIS, Judicial Strength &amp, Numbers, Lowest Unemployment for Women &amp, ALL, Massive Tax Cuts, end of Individual Mandate - and so much more. Big 2018!",unprecedented,success,for,our,country,in,so,many,ways,since,the,election,record,stock,market,strong,on,military,crime,borders,&,isis,judicial,strength,&,numbers,lowest,unemployment,for,women,&,all,massive,tax,cuts,end,of,individual,mandate,-,and,so,much,more,big,2018,,,,,,,,,,,,,,
9.61253E+17,7/2/18 14:59,0.434920635,"In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, the Stock Market goes down. Big mistake, and we have so much good (great) news about the economy!",in,the,old,days,when,good,news,was,reported,the,stock,market,would,go,up,today,when,good,news,is,reported,the,stock,market,goes,down,big,mistake,and,we,have,so,much,good,great,news,about,the,economy,,,,,,,,,,,,,,,,,,,,,
9.98547E+17,21/5/18 12:51,1,"The Wall Street Journal asks, “WHERE IN THE WORLD WAS BARACK OBAMA?”  A very good question!",the,wall,street,journal,asks,where,in,the,world,was,barack,obama,a,very,good,question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00629E+18,11/6/18 21:52,0.111111111,"Stock Market up almost 40% since the Election, with 7 Trillion Dollars of U.S. value built throughout the economy. Lowest unemployment rate in many decades, with Black &amp, Hispanic unemployment lowest in History, and Female unemployment lowest in 21 years. Highest confidence ever!",stock,market,up,almost,40,since,the,election,with,7,trillion,dollars,of,us,value,built,throughout,the,economy,lowest,unemployment,rate,in,many,decades,with,black,&,hispanic,unemployment,lowest,in,history,and,female,unemployment,lowest,in,21,years,highest,confidence,ever,,,,,,,,,,,,,,,,,
1.01807E+18,14/7/18 9:46,-1,"The Stock Market hit 25,000 yesterday. Jobs are at an all time record - and that is before we fix some of the worst trade deals and conditions ever seen by any government. It is all happening!",the,stock,market,hit,25000,yesterday,jobs,are,at,an,all,time,record,-,and,that,is,before,we,fix,some,of,the,worst,trade,deals,and,conditions,ever,seen,by,any,government,it,is,all,happening,,,,,,,,,,,,,,,,,,,,,,,
1.03236E+18,22/8/18 20:07,0,"Longest bull run in the history of the stock market, congratulations America!",longest,bull,run,in,the,history,of,the,stock,market,congratulations,america,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
