DATE,SP500
2/4/20,2526.9
3/4/20,2488.65
6/4/20,2663.68
7/4/20,2659.41
8/4/20,2749.98
9/4/20,2789.82
10/4/20,.
13/4/20,2761.63
14/4/20,2846.06
15/4/20,2783.36
16/4/20,2799.55
17/4/20,2874.56
20/4/20,2823.16
21/4/20,2736.56
22/4/20,2799.31
23/4/20,2797.8
24/4/20,2836.74
27/4/20,2878.48
28/4/20,2863.39
29/4/20,2939.51
30/4/20,2912.43
1/5/20,2830.71
4/5/20,2842.74
5/5/20,2868.44
6/5/20,2848.42
7/5/20,2881.19
8/5/20,2929.8
11/5/20,2930.32
12/5/20,2870.12
13/5/20,2820
14/5/20,2852.5
15/5/20,2863.7
18/5/20,2953.91
19/5/20,2922.94
20/5/20,2971.61
21/5/20,2948.51
22/5/20,2955.45
25/5/20,.
26/5/20,2991.77
27/5/20,3036.13
28/5/20,3029.73
29/5/20,3044.31
1/6/20,3055.73
2/6/20,3080.82
3/6/20,3122.87
4/6/20,3112.35
5/6/20,3193.93
8/6/20,3232.39
9/6/20,3207.18
10/6/20,3190.14
11/6/20,3002.1
12/6/20,3041.31
15/6/20,3066.59
16/6/20,3124.74
17/6/20,3113.49
18/6/20,3115.34
19/6/20,3097.74
22/6/20,3117.86
23/6/20,3131.29
24/6/20,3050.33
25/6/20,3083.76
26/6/20,3009.05
29/6/20,3053.24
30/6/20,3100.29
1/7/20,3115.86
2/7/20,3130.01
3/7/20,.
6/7/20,3179.72
7/7/20,3145.32
8/7/20,3169.94
9/7/20,3152.05
10/7/20,3185.04
13/7/20,3155.22
14/7/20,3197.52
15/7/20,3226.56
16/7/20,3215.57
17/7/20,3224.73
20/7/20,3251.84
21/7/20,3257.3
22/7/20,3276.02
23/7/20,3235.66
24/7/20,3215.63
27/7/20,3239.41
28/7/20,3218.44
29/7/20,3258.44
30/7/20,3246.22
31/7/20,3271.12
3/8/20,3294.61
4/8/20,3306.51
5/8/20,3327.77
6/8/20,3349.16
7/8/20,3351.28
10/8/20,3360.47
11/8/20,3333.69
12/8/20,3380.35
13/8/20,3373.43
14/8/20,3372.85
17/8/20,3381.99
18/8/20,3389.78
19/8/20,3374.85
20/8/20,3385.51
21/8/20,3397.16
24/8/20,3431.28
25/8/20,3443.62
26/8/20,3478.73
27/8/20,3484.55
28/8/20,3508.01
31/8/20,3500.31
1/9/20,3526.65
2/9/20,3580.84
3/9/20,3455.06
4/9/20,3426.96
7/9/20,.
8/9/20,3331.84
9/9/20,3398.96
10/9/20,3339.19
11/9/20,3340.97
14/9/20,3383.54
15/9/20,3401.2
16/9/20,3385.49
17/9/20,3357.01
18/9/20,3319.47
21/9/20,3281.06
22/9/20,3315.57
23/9/20,3236.92
24/9/20,3246.59
25/9/20,3298.46
28/9/20,3351.6
29/9/20,3335.47
30/9/20,3363
1/10/20,3380.8
2/10/20,3348.44
5/10/20,3408.63
6/10/20,3360.95
7/10/20,3419.45
8/10/20,3446.83
9/10/20,3477.13
